[2025-05-23 15:51:34.887] ----------------------------------------------------------
[2025-05-23 15:51:34.887] > System restarted!
[2025-05-23 15:51:34.887] ----------------------------------------------------------
[2025-05-23 15:51:34.887] 阀设备：12
2025-05-23 15:51:35.887  阀芯位移值: 987, PWMA: 6623, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27553
2025-05-23 15:51:36.875  阀芯位移值: 988, PWMA: 6623, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27374
2025-05-23 15:51:37.887  阀芯位移值: 991, PWMA: 6623, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27464
2025-05-23 15:51:38.878  阀芯位移值: 995, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27571
2025-05-23 15:51:39.879  阀芯位移值: 989, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27410
2025-05-23 15:51:40.877  阀芯位移值: 987, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27374
2025-05-23 15:51:41.897  阀芯位移值: 995, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27553
2025-05-23 15:51:42.896  阀芯位移值: 991, PWMA: 2570, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27464
2025-05-23 15:51:43.875  阀芯位移值: 989, PWMA: 5767, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27392
2025-05-23 15:51:44.883  阀芯位移值: 989, PWMA: 6687, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27410
2025-05-23 15:51:45.880  阀芯位移值: 1389, PWMA: 6687, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 38367
2025-05-23 15:51:46.877  阀芯位移值: 1387, PWMA: 6680, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 38296
2025-05-23 15:51:47.876  阀芯位移值: 1395, PWMA: 6078, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 38528
2025-05-23 15:51:48.880  阀芯位移值: 1391, PWMA: 4402, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 38403
2025-05-23 15:51:49.875  阀芯位移值: 1338, PWMA: 2747, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 36957
2025-05-23 15:51:50.872  阀芯位移值: 1163, PWMA: 2117, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 32139
2025-05-23 15:51:51.888  阀芯位移值: 1109, PWMA: 2117, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 30658
2025-05-23 15:51:52.878  阀芯位移值: 1112, PWMA: 2174, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 30747
2025-05-23 15:51:53.886  阀芯位移值: 1111, PWMA: 2223, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 30711
2025-05-23 15:51:54.875  阀芯位移值: 1118, PWMA: 2258, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 30926
2025-05-23 15:51:55.885  阀芯位移值: 1123, PWMA: 2301, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31051
2025-05-23 15:51:56.882  阀芯位移值: 1120, PWMA: 2322, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 30979
2025-05-23 15:51:57.877  阀芯位移值: 1131, PWMA: 2343, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31265
2025-05-23 15:51:58.877  阀芯位移值: 1128, PWMA: 2357, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31193
2025-05-23 15:51:59.880  阀芯位移值: 1130, PWMA: 2357, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31247
2025-05-23 15:52:00.872  阀芯位移值: 1136, PWMA: 2357, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31407
2025-05-23 15:52:01.878  阀芯位移值: 1137, PWMA: 2365, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31425
2025-05-23 15:52:02.883  阀芯位移值: 1132, PWMA: 2365, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31300
2025-05-23 15:52:03.883  阀芯位移值: 1140, PWMA: 2393, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31514
2025-05-23 15:52:04.879  阀芯位移值: 1143, PWMA: 2414, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31586
2025-05-23 15:52:05.873  阀芯位移值: 1144, PWMA: 2428, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31639
2025-05-23 15:52:06.883  阀芯位移值: 1149, PWMA: 2428, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31764
2025-05-23 15:52:07.873  阀芯位移值: 1146, PWMA: 2442, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31675
2025-05-23 15:52:08.872  阀芯位移值: 1148, PWMA: 2435, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31729
2025-05-23 15:52:09.877  阀芯位移值: 1145, PWMA: 2442, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31657
2025-05-23 15:52:10.884  阀芯位移值: 1148, PWMA: 2435, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31729
2025-05-23 15:52:11.887  阀芯位移值: 1152, PWMA: 2442, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31854
2025-05-23 15:52:12.877  阀芯位移值: 1148, PWMA: 2442, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31746
2025-05-23 15:52:13.872  阀芯位移值: 1150, PWMA: 2435, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31800
2025-05-23 15:52:14.875  阀芯位移值: 1152, PWMA: 2435, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 31836
